Tournament,Date,Participation,Winner,Runner-up,Final Score,Overview_Serve_Ace %_Winner,Overview_Serve_Ace %_Runner-up,Overview_Serve_Double Fault %_Winner,Overview_Serve_Double Fault %_Runner-up,Overview_Serve_1st Serve %_Winner,Overview_Serve_1st Serve %_Runner-up,Overview_Serve_1st Serve Won %_Winner,Overview_Serve_1st Serve Won %_Runner-up,Overview_Serve_2nd Serve Won %_Winner,Overview_Serve_2nd Serve Won %_Runner-up,Overview_Serve_Break Points Saved %_Winner,Overview_Serve_Break Points Saved %_Runner-up,Overview_Serve_Service Points Won %_Winner,Overview_Serve_Service Points Won %_Runner-up,Overview_Return_1st Srv. Return Won %_Winner,Overview_Return_1st Srv. Return Won %_Runner-up,Overview_Return_2nd Srv. Return Won %_Winner,Overview_Return_2nd Srv. Return Won %_Runner-up,Overview_Return_Break Points Won %_Winner,Overview_Return_Break Points Won %_Runner-up,Overview_Return_Return Points Won %_Winner,Overview_Return_Return Points Won %_Runner-up,Overview_Total_Points Dominance_Winner,Overview_Total_Total Points Won %_Winner,Overview_Total_Total Points Won %_Runner-up,Overview_Total_Match Time_Winner,AcesDFs_Aces_Aces_Winner,AcesDFs_Aces_Ace %_Winner,AcesDFs_Aces_Ace %_Runner-up,AcesDFs_Aces_Aces per Svc. Game_Winner,AcesDFs_Aces_Aces per Svc. Game_Runner-up,AcesDFs_Aces_Aces per Set_Winner,AcesDFs_Aces_Aces per Set_Runner-up,AcesDFs_Double Faults_Double Faults_Winner,AcesDFs_Double Faults_Double Fault %_Winner,AcesDFs_Double Faults_Double Fault %_Runner-up,AcesDFs_Double Faults_DFs per 2nd Serve %_Winner,AcesDFs_Double Faults_DFs per 2nd Serve %_Runner-up,AcesDFs_Double Faults_DFs per Svc. Game_Winner,AcesDFs_Double Faults_DFs per Svc. Game_Runner-up,AcesDFs_Double Faults_DFs per Set_Winner,AcesDFs_Double Faults_DFs per Set_Runner-up,AcesDFs_Other_Aces / DFs Ratio_Winner,AcesDFs_Other_Aces / DFs Ratio_Runner-up,Serve_Serve_1st Serve %_Winner,Serve_Serve_1st Serve %_Runner-up,Serve_Serve_1st Serve Won %_Winner,Serve_Serve_1st Serve Won %_Runner-up,Serve_Serve_2nd Serve Won %_Winner,Serve_Serve_2nd Serve Won %_Runner-up,Serve_Serve_1st Serve Effectiveness_Winner,Serve_Serve_Serve Rating_Winner,Serve_Points_Service Points Won %_Winner,Serve_Points_Service Points Won %_Runner-up,Serve_Points_Svc. In-play Pts. Won %_Winner,Serve_Points_Svc. In-play Pts. Won %_Runner-up,Serve_Points_Points per Service Game_Winner,Serve_Points_Points per Service Game_Runner-up,Serve_Points_Pts. Lost per Svc. Game_Winner,Serve_Points_Pts. Lost per Svc. Game_Runner-up,Serve_Points_Break Points Saved %_Winner,Serve_Points_Break Points Saved %_Runner-up,Serve_Points_BPs per Svc. Game_Winner,Serve_Points_BPs per Svc. Game_Runner-up,Serve_Points_BPs Faced per Set_Winner,Serve_Points_BPs Faced per Set_Runner-up,Serve_Games_Service Games Won %_Winner,Serve_Games_Service Games Won %_Runner-up,Serve_Games_Svc. Gms. Lost per Set_Winner,Serve_Games_Svc. Gms. Lost per Set_Runner-up,Return_Return_1st Srv. Return Won %_Winner,Return_Return_1st Srv. Return Won %_Runner-up,Return_Return_2nd Srv. Return Won %_Winner,Return_Return_2nd Srv. Return Won %_Runner-up,Return_Return_Return Rating_Winner,Return_Points_Return Points Won %_Winner,Return_Points_Return Points Won %_Runner-up,Return_Points_Rtn. In-play Pts. Won %_Winner,Return_Points_Rtn. In-play Pts. Won %_Runner-up,Return_Points_Points per Return Game_Winner,Return_Points_Points per Return Game_Runner-up,Return_Points_Pts. Won per Rtn. Game_Winner,Return_Points_Pts. Won per Rtn. Game_Runner-up,Return_Points_Break Points Won %_Winner,Return_Points_Break Points Won %_Runner-up,Return_Points_BPs per Return Game_Winner,Return_Points_BPs per Return Game_Runner-up,Return_Points_BPs per Set_Winner,Return_Points_BPs per Set_Runner-up,Return_Games_Return Games Won %_Winner,Return_Games_Return Games Won %_Runner-up,Return_Games_Rtn. Gms. Won per Set_Winner,Return_Games_Rtn. Gms. Won per Set_Runner-up,Total_Points & Games_Total Points Played_Winner,Total_Points & Games_Total Points Won_Winner,Total_Points & Games_Total Points Won %_Winner,Total_Points & Games_Total Points Won %_Runner-up,Total_Points & Games_Rtn. to Svc. Points Ratio_Winner,Total_Points & Games_Rtn. to Svc. Points Ratio_Runner-up,Total_Points & Games_Total Games Played_Winner,Total_Points & Games_Total Games Won_Winner,Total_Points & Games_Games Won %_Winner,Total_Points & Games_Games Won %_Runner-up,Total_Dominance_Points Dominance_Winner,Total_Dominance_Games Dominance_Winner,Total_Dominance_Break Points Ratio_Winner,Total_Time_Point Time (seconds)_Winner,Total_Time_Game Time (minutes)_Winner,Total_Time_Set Time (minutes)_Winner,Total_Time_Match Time_Winner
US Open 2018,27-08-2018,97.8%,Novak Djokovic,Juan Martin Del Potro,6-3 7-6(4) 6-3,1 / 118,6 / 89,2 / 118,1 / 89,74 / 118,57 / 89,50 / 74,38 / 57,26 / 44,16 / 32,4 / 6,3 / 7,76 / 118,54 / 89,19 / 57,24 / 74,16 / 32,18 / 44,4 / 7,2 / 6,35 / 89,42 / 118,0.91,111 / 207,96 / 207,3:16,6,1 / 118,6 / 89,1 / 17,6 / 14,1 / 3,6 / 3,1,2 / 118,1 / 89,2 / 44,1 / 32,2 / 17,1 / 14,2 / 3,1 / 3,1 / 2,6 / 1,74 / 118,57 / 89,50 / 74,38 / 57,26 / 44,16 / 32,1.33,301,76 / 118,54 / 89,75 / 115,48 / 82,118 / 17,89 / 14,42 / 17,35 / 14,4 / 6,3 / 7,6 / 17,7 / 14,6 / 3,7 / 3,15 / 17,10 / 14,2 / 3,4 / 3,19 / 57,24 / 74,16 / 32,18 / 44,118,35 / 89,42 / 118,34.0 / 82.0,40.0 / 115.0,89 / 14,118 / 17,35 / 14,42 / 17,4 / 7,2 / 6,7 / 14,6 / 17,7 / 3,6 / 3,4 / 14,2 / 17,4 / 3,2 / 3,207,96,111 / 207,96 / 207,89 / 118,118 / 89,30,12,18 / 30,12 / 30,0.91,0.41,0.58,56.8,6.53,65.3,3:16
US Open 2017,28-08-2017,80.6%,Rafael Nadal,Kevin Anderson,6-3 6-3 6-4,1 / 72,10 / 108,1 / 72,4 / 108,45 / 72,64 / 108,38 / 45,47 / 64,19 / 27,16 / 44,0 / 0,5 / 9,57 / 72,63 / 108,17 / 64,7 / 45,28 / 44,8 / 27,4 / 9,0 / 0,45 / 108,15 / 72,0.50,102 / 180,78 / 180,2:27,10,1 / 72,10 / 108,1 / 14,10 / 14,1 / 3,10 / 3,4,1 / 72,4 / 108,1 / 27,4 / 44,1 / 14,4 / 14,1 / 3,4 / 3,1 / 1,10 / 4,45 / 72,64 / 108,38 / 45,47 / 64,19 / 27,16 / 44,2.02,302,57 / 72,63 / 108,56 / 70,53 / 94,72 / 14,108 / 14,15 / 14,45 / 14,0 / 0,5 / 9,0 / 14,9 / 14,0 / 3,9 / 3,14 / 14,10 / 14,0 / 3,4 / 3,17 / 64,7 / 45,28 / 44,8 / 27,45,45 / 108,15 / 72,41.0 / 94.0,14.0 / 70.0,108 / 14,72 / 14,45 / 14,15 / 14,4 / 9,0 / 0,9 / 14,0 / 14,9 / 3,0 / 3,4 / 14,0 / 14,4 / 3,0 / 3,180,78,102 / 180,78 / 180,108 / 72,72 / 108,28,10,18 / 28,10 / 28,0.50,0.00,,49.0,5.25,49.0,2:27
US Open 2016,29-08-2016,91.5%,Stan Wawrinka,Novak Djokovic,6-7(1) 6-4 7-5 6-3,9 / 164,6 / 123,3 / 164,7 / 123,92 / 164,63 / 123,65 / 92,49 / 63,37 / 72,32 / 60,14 / 17,4 / 10,102 / 164,81 / 123,14 / 63,27 / 92,28 / 60,35 / 72,6 / 10,3 / 17,42 / 123,62 / 164,1.11,144 / 287,143 / 287,3:54,6,9 / 164,6 / 123,9 / 22,6 / 21,9 / 4,6 / 4,7,3 / 164,7 / 123,3 / 72,7 / 60,3 / 22,7 / 21,3 / 4,7 / 4,9 / 3,6 / 7,92 / 164,63 / 123,65 / 92,49 / 63,37 / 72,32 / 60,1.46,293,102 / 164,81 / 123,93 / 152,75 / 110,164 / 22,123 / 21,62 / 22,42 / 21,14 / 17,4 / 10,17 / 22,10 / 21,17 / 4,10 / 4,19 / 22,15 / 21,3 / 4,6 / 4,14 / 63,27 / 92,28 / 60,35 / 72,109,42 / 123,62 / 164,35.0 / 110.0,59.0 / 152.0,123 / 21,164 / 22,42 / 21,62 / 22,6 / 10,3 / 17,10 / 21,17 / 22,10 / 4,17 / 4,6 / 21,3 / 22,6 / 4,3 / 4,287,143,144 / 287,143 / 287,123 / 164,164 / 123,43,18,25 / 43,18 / 43,1.11,0.48,0.29,48.9,5.44,58.5,3:54
US Open 2015,31-08-2015,98.2%,Novak Djokovic,Roger Federer,6-4 5-7 6-4 6-4,3 / 155,11 / 137,5 / 155,5 / 137,96 / 155,87 / 137,63 / 96,62 / 87,32 / 59,23 / 50,19 / 23,7 / 13,95 / 155,85 / 137,25 / 87,33 / 96,27 / 50,27 / 59,6 / 13,4 / 23,52 / 137,60 / 155,1.02,147 / 292,145 / 292,3:20,11,3 / 155,11 / 137,3 / 21,11 / 21,3 / 4,11 / 4,5,5 / 155,5 / 137,5 / 59,5 / 50,5 / 21,5 / 21,5 / 4,5 / 4,3 / 5,11 / 5,96 / 155,87 / 137,63 / 96,62 / 87,32 / 59,23 / 50,1.55,310,95 / 155,85 / 137,92 / 147,74 / 121,155 / 21,137 / 21,60 / 21,52 / 21,19 / 23,7 / 13,23 / 21,13 / 21,23 / 4,13 / 4,17 / 21,15 / 21,4 / 4,6 / 4,25 / 87,33 / 96,27 / 50,27 / 59,117,52 / 137,60 / 155,47.0 / 121.0,55.0 / 147.0,137 / 21,155 / 21,52 / 21,60 / 21,6 / 13,4 / 23,13 / 21,23 / 21,13 / 4,23 / 4,6 / 21,4 / 21,6 / 4,4 / 4,292,145,147 / 292,145 / 292,137 / 155,155 / 137,42,19,23 / 42,19 / 42,1.02,0.67,0.38,41.1,4.76,50.0,3:20
US Open 2014,25-08-2014,88.0%,Marin Cilic,Kei Nishikori,6-3 6-3 6-3,18 / 86,2 / 75,3 / 86,1 / 75,45 / 86,39 / 75,36 / 45,22 / 39,25 / 41,21 / 36,8 / 9,6 / 11,61 / 86,43 / 75,17 / 39,9 / 45,15 / 36,16 / 41,5 / 11,1 / 9,32 / 75,25 / 86,0.68,93 / 161,68 / 161,1:54,2,18 / 86,2 / 75,18 / 14,2 / 13,18 / 3,2 / 3,1,3 / 86,1 / 75,3 / 41,1 / 36,3 / 14,1 / 13,3 / 3,1 / 3,18 / 3,2 / 1,45 / 86,39 / 75,36 / 45,22 / 39,25 / 41,21 / 36,0.97,284,61 / 86,43 / 75,43 / 65,41 / 72,86 / 14,75 / 13,25 / 14,32 / 13,8 / 9,6 / 11,9 / 14,11 / 13,9 / 3,11 / 3,13 / 14,8 / 13,1 / 3,5 / 3,17 / 39,9 / 45,15 / 36,16 / 41,77,32 / 75,25 / 86,31.0 / 72.0,22.0 / 65.0,75 / 13,86 / 14,32 / 13,25 / 14,5 / 11,1 / 9,11 / 13,9 / 14,11 / 3,9 / 3,5 / 13,1 / 14,5 / 3,1 / 3,161,68,93 / 161,68 / 161,75 / 86,86 / 75,27,9,18 / 27,9 / 27,0.68,0.19,0.24,42.5,4.22,38.0,1:54
US Open 2013,26-08-2013,91.7%,Rafael Nadal,Novak Djokovic,6-2 3-6 6-4 6-1,1 / 121,6 / 102,1 / 121,2 / 102,78 / 121,69 / 102,51 / 78,40 / 69,24 / 43,16 / 33,8 / 11,5 / 11,75 / 121,56 / 102,29 / 69,27 / 78,17 / 33,19 / 43,6 / 11,3 / 11,46 / 102,46 / 121,0.84,121 / 223,102 / 223,3:21,6,1 / 121,6 / 102,1 / 17,6 / 17,1 / 4,6 / 4,2,1 / 121,2 / 102,1 / 43,2 / 33,1 / 17,2 / 17,1 / 4,2 / 4,1 / 1,6 / 2,78 / 121,69 / 102,51 / 78,40 / 69,24 / 43,16 / 33,1.20,288,75 / 121,56 / 102,74 / 119,50 / 94,121 / 17,102 / 17,46 / 17,46 / 17,8 / 11,5 / 11,11 / 17,11 / 17,11 / 4,11 / 4,14 / 17,11 / 17,3 / 4,6 / 4,29 / 69,27 / 78,17 / 33,19 / 43,124,46 / 102,46 / 121,44.0 / 94.0,45.0 / 119.0,102 / 17,121 / 17,46 / 17,46 / 17,6 / 11,3 / 11,11 / 17,11 / 17,11 / 4,11 / 4,6 / 17,3 / 17,6 / 4,3 / 4,223,102,121 / 223,102 / 223,102 / 121,121 / 102,34,13,21 / 34,13 / 34,0.84,0.50,0.50,54.1,5.91,50.3,3:21
US Open 2012,27-08-2012,92.7%,Andy Murray,Novak Djokovic,7-6(10) 7-5 2-6 3-6 6-2,5 / 150,7 / 165,4 / 150,5 / 165,99 / 150,103 / 165,62 / 99,65 / 103,24 / 51,26 / 62,9 / 18,8 / 15,86 / 150,91 / 165,38 / 103,37 / 99,36 / 62,27 / 51,7 / 15,9 / 18,74 / 165,64 / 150,0.95,160 / 315,155 / 315,4:54,7,5 / 150,7 / 165,5 / 25,7 / 24,5 / 5,7 / 5,5,4 / 150,5 / 165,4 / 51,5 / 62,4 / 25,5 / 24,4 / 5,5 / 5,5 / 4,7 / 5,99 / 150,103 / 165,62 / 99,65 / 103,24 / 51,26 / 62,1.50,293,86 / 150,91 / 165,81 / 141,84 / 153,150 / 25,165 / 24,64 / 25,74 / 24,9 / 18,8 / 15,18 / 25,15 / 24,18 / 5,15 / 5,16 / 25,17 / 24,9 / 5,7 / 5,38 / 103,37 / 99,36 / 62,27 / 51,176,74 / 165,64 / 150,69.0 / 153.0,60.0 / 141.0,165 / 24,150 / 25,74 / 24,64 / 25,7 / 15,9 / 18,15 / 24,18 / 25,15 / 5,18 / 5,7 / 24,9 / 25,7 / 5,9 / 5,315,155,160 / 315,155 / 315,165 / 150,150 / 165,49,25,24 / 49,25 / 49,0.95,1.23,1.07,56.0,6.00,58.8,4:54
US Open 2011,29-08-2011,92.6%,Novak Djokovic,Rafael Nadal,6-2 6-4 6-7(3) 6-1,7 / 127,2 / 141,1 / 127,3 / 141,84 / 127,96 / 141,55 / 84,50 / 96,19 / 43,19 / 45,8 / 14,15 / 27,74 / 127,69 / 141,46 / 96,29 / 84,26 / 45,24 / 43,12 / 27,6 / 14,72 / 141,53 / 127,0.82,146 / 268,122 / 268,4:10,2,7 / 127,2 / 141,7 / 19,2 / 18,7 / 4,2 / 4,3,1 / 127,3 / 141,1 / 43,3 / 45,1 / 19,3 / 18,1 / 4,3 / 4,7 / 1,2 / 3,84 / 127,96 / 141,55 / 84,50 / 96,19 / 43,19 / 45,1.23,251,74 / 127,69 / 141,67 / 119,67 / 136,127 / 19,141 / 18,53 / 19,72 / 18,8 / 14,15 / 27,14 / 19,27 / 18,14 / 4,27 / 4,13 / 19,6 / 18,6 / 4,12 / 4,46 / 96,29 / 84,26 / 45,24 / 43,165,72 / 141,53 / 127,69.0 / 136.0,52.0 / 119.0,141 / 18,127 / 19,72 / 18,53 / 19,12 / 27,6 / 14,27 / 18,14 / 19,27 / 4,14 / 4,12 / 18,6 / 19,12 / 4,6 / 4,268,122,146 / 268,122 / 268,141 / 127,127 / 141,37,13,24 / 37,13 / 37,0.82,0.47,0.96,56.0,6.76,62.5,4:10
US Open 2010,30-08-2010,93.1%,Rafael Nadal,Novak Djokovic,6-4 5-7 6-4 6-2,8 / 112,5 / 143,2 / 112,4 / 143,75 / 112,94 / 143,55 / 75,61 / 94,21 / 37,22 / 49,1 / 4,20 / 25,76 / 112,83 / 143,33 / 94,20 / 75,27 / 49,16 / 37,5 / 25,3 / 4,60 / 143,36 / 112,0.77,136 / 255,119 / 255,3:43,5,8 / 112,5 / 143,8 / 20,5 / 20,8 / 4,5 / 4,4,2 / 112,4 / 143,2 / 37,4 / 49,2 / 20,4 / 20,2 / 4,4 / 4,8 / 2,5 / 4,75 / 112,94 / 143,55 / 75,61 / 94,21 / 37,22 / 49,1.45,331,76 / 112,83 / 143,68 / 102,78 / 134,112 / 20,143 / 20,36 / 20,60 / 20,1 / 4,20 / 25,4 / 20,25 / 20,4 / 4,25 / 4,17 / 20,15 / 20,3 / 4,5 / 4,33 / 94,20 / 75,27 / 49,16 / 37,160,60 / 143,36 / 112,56.0 / 134.0,34.0 / 102.0,143 / 20,112 / 20,60 / 20,36 / 20,5 / 25,3 / 4,25 / 20,4 / 20,25 / 4,4 / 4,5 / 20,3 / 20,5 / 4,3 / 4,255,119,136 / 255,119 / 255,143 / 112,112 / 143,40,17,23 / 40,17 / 40,0.77,0.60,3.75,52.5,5.58,55.8,3:43
US Open 2009,31-08-2009,95.0%,Juan Martin Del Potro,Roger Federer,3-6 7-6(5) 4-6 7-6(4) 6-2,8 / 171,14 / 181,6 / 171,11 / 181,112 / 171,93 / 181,81 / 112,67 / 93,33 / 59,48 / 88,17 / 22,10 / 15,114 / 171,115 / 181,26 / 93,31 / 112,40 / 88,26 / 59,5 / 15,5 / 22,66 / 181,57 / 171,0.91,180 / 352,172 / 352,4:06,14,8 / 171,14 / 181,8 / 25,14 / 26,8 / 5,14 / 5,11,6 / 171,11 / 181,6 / 59,11 / 88,6 / 25,11 / 26,6 / 5,11 / 5,8 / 6,14 / 11,112 / 171,93 / 181,81 / 112,67 / 93,33 / 59,48 / 88,1.32,327,114 / 171,115 / 181,106 / 157,101 / 156,171 / 25,181 / 26,57 / 25,66 / 26,17 / 22,10 / 15,22 / 25,15 / 26,22 / 5,15 / 5,20 / 25,21 / 26,5 / 5,5 / 5,26 / 93,31 / 112,40 / 88,26 / 59,114,66 / 181,57 / 171,55.0 / 156.0,51.0 / 157.0,181 / 26,171 / 25,66 / 26,57 / 25,5 / 15,5 / 22,15 / 26,22 / 25,15 / 5,22 / 5,5 / 26,5 / 25,5 / 5,5 / 5,352,172,180 / 352,172 / 352,181 / 171,171 / 181,51,26,25 / 51,26 / 51,0.91,1.04,0.68,41.9,4.82,49.2,4:06
US Open 2008,25-08-2008,94.5%,Roger Federer,Andy Murray,6-2 7-5 6-2,3 / 81,3 / 81,0 / 81,3 / 81,47 / 81,45 / 81,37 / 47,23 / 45,16 / 34,17 / 36,3 / 5,3 / 10,53 / 81,40 / 81,22 / 45,10 / 47,19 / 36,18 / 34,7 / 10,2 / 5,41 / 81,28 / 81,0.68,94 / 162,68 / 162,1:51,3,3 / 81,3 / 81,3 / 14,3 / 14,3 / 3,3 / 3,3,0 / 81,3 / 81,0 / 34,3 / 36,0 / 14,3 / 14,0 / 3,3 / 3,3 / 0,3 / 3,47 / 81,45 / 81,37 / 47,23 / 45,16 / 34,17 / 36,1.08,234,53 / 81,40 / 81,50 / 78,37 / 75,81 / 14,81 / 14,28 / 14,41 / 14,3 / 5,3 / 10,5 / 14,10 / 14,5 / 3,10 / 3,12 / 14,7 / 14,2 / 3,7 / 3,22 / 45,10 / 47,19 / 36,18 / 34,129,41 / 81,28 / 81,38.0 / 75.0,28.0 / 78.0,81 / 14,81 / 14,41 / 14,28 / 14,7 / 10,2 / 5,10 / 14,5 / 14,10 / 3,5 / 3,7 / 14,2 / 14,7 / 3,2 / 3,162,68,94 / 162,68 / 162,81 / 81,81 / 81,28,9,19 / 28,9 / 28,0.68,0.29,0.57,41.1,3.96,37.0,1:51
US Open 2007,27-08-2007,96.6%,Roger Federer,Novak Djokovic,7-6(4) 7-6(2) 6-4,11 / 106,5 / 116,4 / 106,7 / 116,66 / 106,64 / 116,52 / 66,45 / 64,25 / 40,29 / 52,7 / 9,2 / 5,77 / 106,74 / 116,19 / 64,14 / 66,23 / 52,15 / 40,3 / 5,2 / 9,42 / 116,29 / 106,0.76,119 / 222,103 / 222,2:24,5,11 / 106,5 / 116,11 / 17,5 / 17,11 / 3,5 / 3,7,4 / 106,7 / 116,4 / 40,7 / 52,4 / 17,7 / 17,4 / 3,7 / 3,11 / 4,5 / 7,66 / 106,64 / 116,52 / 66,45 / 64,25 / 40,29 / 52,1.26,302,77 / 106,74 / 116,66 / 91,69 / 104,106 / 17,116 / 17,29 / 17,42 / 17,7 / 9,2 / 5,9 / 17,5 / 17,9 / 3,5 / 3,15 / 17,14 / 17,2 / 3,3 / 3,19 / 64,14 / 66,23 / 52,15 / 40,93,42 / 116,29 / 106,35.0 / 104.0,25.0 / 91.0,116 / 17,106 / 17,42 / 17,29 / 17,3 / 5,2 / 9,5 / 17,9 / 17,5 / 3,9 / 3,3 / 17,2 / 17,3 / 3,2 / 3,222,103,119 / 222,103 / 222,116 / 106,106 / 116,34,16,18 / 34,16 / 34,0.76,0.67,0.37,38.9,4.24,48.0,2:24
US Open 2006,28-08-2006,91.1%,Roger Federer,Andy Roddick,6-2 4-6 7-5 6-1,17 / 103,7 / 122,0 / 103,1 / 122,63 / 103,80 / 122,53 / 63,53 / 80,20 / 40,16 / 42,6 / 8,10 / 16,73 / 103,69 / 122,27 / 80,10 / 63,26 / 42,20 / 40,6 / 16,2 / 8,53 / 122,30 / 103,0.67,126 / 225,99 / 225,2:25,7,17 / 103,7 / 122,17 / 19,7 / 18,17 / 4,7 / 4,1,0 / 103,1 / 122,0 / 40,1 / 42,0 / 19,1 / 18,0 / 4,1 / 4,17 / 0,7 / 1,63 / 103,80 / 122,53 / 63,53 / 80,20 / 40,16 / 42,1.74,304,73 / 103,69 / 122,56 / 86,62 / 114,103 / 19,122 / 18,30 / 19,53 / 18,6 / 8,10 / 16,8 / 19,16 / 18,8 / 4,16 / 4,17 / 19,12 / 18,2 / 4,6 / 4,27 / 80,10 / 63,26 / 42,20 / 40,101,53 / 122,30 / 103,52.0 / 114.0,30.0 / 86.0,122 / 18,103 / 19,53 / 18,30 / 19,6 / 16,2 / 8,16 / 18,8 / 19,16 / 4,8 / 4,6 / 18,2 / 19,6 / 4,2 / 4,225,99,126 / 225,99 / 225,122 / 103,103 / 122,37,14,23 / 37,14 / 37,0.67,0.32,0.67,38.7,3.92,36.3,2:25
US Open 2005,29-08-2005,91.9%,Roger Federer,Andre Agassi,6-3 2-6 7-6(1) 6-1,19 / 107,6 / 131,0 / 107,4 / 131,81 / 107,78 / 131,60 / 81,45 / 78,15 / 26,29 / 53,3 / 6,14 / 18,75 / 107,74 / 131,33 / 78,21 / 81,24 / 53,11 / 26,4 / 18,3 / 6,57 / 131,32 / 107,0.69,132 / 238,106 / 238,2:19,6,19 / 107,6 / 131,19 / 19,6 / 17,19 / 4,6 / 4,4,0 / 107,4 / 131,0 / 26,4 / 53,0 / 19,4 / 17,0 / 4,4 / 4,19 / 0,6 / 4,81 / 107,78 / 131,60 / 81,45 / 78,15 / 26,29 / 53,1.05,328,75 / 107,74 / 131,56 / 88,68 / 121,107 / 19,131 / 17,32 / 19,57 / 17,3 / 6,14 / 18,6 / 19,18 / 17,6 / 4,18 / 4,16 / 19,13 / 17,3 / 4,4 / 4,33 / 78,21 / 81,24 / 53,11 / 26,134,57 / 131,32 / 107,53.0 / 121.0,32.0 / 88.0,131 / 17,107 / 19,57 / 17,32 / 19,4 / 18,3 / 6,18 / 17,6 / 19,18 / 4,6 / 4,4 / 17,3 / 19,4 / 4,3 / 4,238,106,132 / 238,106 / 238,131 / 107,107 / 131,36,16,20 / 36,16 / 36,0.69,0.67,2.25,35.0,3.86,34.8,2:19
US Open 2004,30-08-2004,91.5%,Roger Federer,Lleyton Hewitt,6-0 7-6(3) 6-0,11 / 89,1 / 75,1 / 89,4 / 75,49 / 89,41 / 75,38 / 49,23 / 41,22 / 40,12 / 34,5 / 6,6 / 13,60 / 89,35 / 75,18 / 41,11 / 49,22 / 34,18 / 40,7 / 13,1 / 6,40 / 75,29 / 89,0.61,100 / 164,64 / 164,1:49,1,11 / 89,1 / 75,11 / 12,1 / 12,11 / 3,1 / 3,4,1 / 89,4 / 75,1 / 40,4 / 34,1 / 12,4 / 12,1 / 3,4 / 3,11 / 1,1 / 4,49 / 89,41 / 75,38 / 49,23 / 41,22 / 40,12 / 34,1.59,230,60 / 89,35 / 75,49 / 77,34 / 70,89 / 12,75 / 12,29 / 12,40 / 12,5 / 6,6 / 13,6 / 12,13 / 12,6 / 3,13 / 3,11 / 12,5 / 12,1 / 3,7 / 3,18 / 41,11 / 49,22 / 34,18 / 40,92,40 / 75,29 / 89,36.0 / 70.0,28.0 / 77.0,75 / 12,89 / 12,40 / 12,29 / 12,7 / 13,1 / 6,13 / 12,6 / 12,13 / 3,6 / 3,7 / 12,1 / 12,7 / 3,1 / 3,164,64,100 / 164,64 / 164,75 / 89,89 / 75,24,6,18 / 24,6 / 24,0.61,0.14,0.31,39.9,4.54,36.3,1:49
US Open 2003,25-08-2003,96.1%,Andy Roddick,Juan Carlos Ferrero,6-3 7-6(2) 6-3,23 / 87,7 / 90,2 / 87,1 / 90,55 / 87,57 / 90,49 / 55,42 / 57,19 / 32,15 / 33,3 / 3,3 / 5,68 / 87,57 / 90,15 / 57,6 / 55,18 / 33,13 / 32,2 / 5,0 / 3,33 / 90,19 / 87,0.60,101 / 177,76 / 177,1:41,7,23 / 87,7 / 90,23 / 16,7 / 14,23 / 3,7 / 3,1,2 / 87,1 / 90,2 / 32,1 / 33,2 / 16,1 / 14,2 / 3,1 / 3,23 / 2,7 / 1,55 / 87,57 / 90,49 / 55,42 / 57,19 / 32,15 / 33,1.62,335,68 / 87,57 / 90,45 / 62,50 / 82,87 / 16,90 / 14,19 / 16,33 / 14,3 / 3,3 / 5,3 / 16,5 / 14,3 / 3,5 / 3,16 / 16,12 / 14,0 / 3,2 / 3,15 / 57,6 / 55,18 / 33,13 / 32,52,33 / 90,19 / 87,32.0 / 82.0,17.0 / 62.0,90 / 14,87 / 16,33 / 14,19 / 16,2 / 5,0 / 3,5 / 14,3 / 16,5 / 3,3 / 3,2 / 14,0 / 16,2 / 3,0 / 3,177,76,101 / 177,76 / 177,90 / 87,87 / 90,30,12,18 / 30,12 / 30,0.60,0.00,0.00,34.2,3.37,33.7,1:41
US Open 2002,26-08-2002,93.0%,Pete Sampras,Andre Agassi,6-3 6-4 5-7 6-4,33 / 152,7 / 125,13 / 152,4 / 125,87 / 152,82 / 125,70 / 87,55 / 82,34 / 65,23 / 43,10 / 12,4 / 8,104 / 152,78 / 125,27 / 82,17 / 87,20 / 43,31 / 65,4 / 8,2 / 12,47 / 125,48 / 152,0.84,151 / 277,126 / 277,2:52,7,33 / 152,7 / 125,33 / 21,7 / 20,33 / 4,7 / 4,4,13 / 152,4 / 125,13 / 65,4 / 43,13 / 21,4 / 20,13 / 4,4 / 4,33 / 13,7 / 4,87 / 152,82 / 125,70 / 87,55 / 82,34 / 65,23 / 43,1.25,319,104 / 152,78 / 125,71 / 106,71 / 114,152 / 21,125 / 20,48 / 21,47 / 20,10 / 12,4 / 8,12 / 21,8 / 20,12 / 4,8 / 4,19 / 21,16 / 20,2 / 4,4 / 4,27 / 82,17 / 87,20 / 43,31 / 65,93,47 / 125,48 / 152,43.0 / 114.0,35.0 / 106.0,125 / 20,152 / 21,47 / 20,48 / 21,4 / 8,2 / 12,8 / 20,12 / 21,8 / 4,12 / 4,4 / 20,2 / 21,4 / 4,2 / 4,277,126,151 / 277,126 / 277,125 / 152,152 / 125,41,18,23 / 41,18 / 41,0.84,0.48,0.33,37.3,4.20,43.0,2:52
