Name,Full name,Country (sports),Born,Died,Height,Turned pro,Retired,Plays,Prize money,Int. Tennis HoF,Residence,Spouse(s),Children,Coach,College,Official website,Native name,Nationality,Batting,Cause of death,Listed height,Listed weight,Sex,Nickname(s),National team,Weight,ITF name,Bowling
"""Coral Buttsworth""","""Coral Annabell McInnes Buttsworth""","""Australia""",,"""20 December 1985(1985-12-20) (aged 85)Hazelbrook, Australia""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Yola Ramírez""",,"""Mexico""","""1935-03-01""",,,,,"""Right–handed""",,,,,,,,,,,,,,,F,,,,,
"""Martina Hingis""",,"""Switzerland""","""1980-09-30""",,"""1.70 m""",1994,"""29 October 2017""","""Right-handed (two-handed backhand)""","US$24,749,074
 11th in all-time rankings","""2013 (member page)""","""Feusisberg, Switzerland""",,,,,,,,,,,,F,,,,,
"""Julia Sampson""",,"""United States""","""1934-02-02""","""December 27, 2011(2011-12-27) (aged 77)[1]Newport Beach, California, US""",,,1958,,,,,,,,,,,,,,,,F,,,,,
"""Mabel Cahill""","""Mabel Esmonde Cahill""","""Ireland""","""1863-04-02""","""1 January 1905(1905-01-01) (aged 41)Ireland""",,,,"""Right-handed""",,"""1976 (member page)""",,,,,,,,,,,,,F,,,,,
"""Ann Haydon""","""Ann Shirley Jones""","""Great Britain""","""1938-10-07""",,,,,"""Left-handed""",,"""1985 (member page)""",,,,,,,,,,,,,F,,,,,
"""Ann Jones""",,"""Great Britain""","""1938-10-07""",,,,,"""Left-handed""",,,,,,,,,,,,,,,F,,,,,
"""Dorothy Green""",,"""United States""","""1897-03-31""","""13 December 1964(1964-12-13) (aged 67)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Sloane Stephens""",,"""United States""","""1993-03-20""",,"""1.70 m""","""2009""",,"""Right-handed (two-handed backhand)""","""US$ 15,634,732""",,"""Fort Lauderdale, Florida, U.S.""",,,"""Kamau Murray (2015–18, 2019–)""",,"""sloanestephens.com""",,,,,,,F,,,,,
"""Francesca Schiavone""",,"""Italy""","""1980-06-23""",,"""1.66 m""",1998,2018,"""Right-handed (one-handed backhand)""","""$11,324,245""",,"""Milan, Lombardy""",,,,,"""schiavonefrancesca.com""",,,,,,,F,,,,,
"""Margaret Molesworth""","""Maud Margaret Mutch Molesworth""","""Australia""","""1894-10-18""","""9 July 1985(1985-07-09) (aged 90)Sydney, New South Wales, Australia""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Sara Errani""",,"""Italy""","""1987-04-29""",,"""1.64 m""",2002,,"""Right-handed (two-handed backhand)""","""$13,532,815""",,"""Bologna, Italy""",,,"""Pablo Lozano (2004–2016)Michele Montalbini (2017)""",,"""sara-errani.com""",,,,,,,F,,,,,
"""Helen Hellwig""",,"""United States""","""1874-03-04""","""November 26, 1960(1960-11-26) (aged 86)Manhattan, New York""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Iga Świątek""",,"""Poland""","""2001-05-31""",,"""1.76 m""",,,"""Right-handed (two-handed backhand)""","""US$3,299,952""",,"""Raszyn, Poland""",,,"""Piotr Sierzputowski""",,,,,,,,,F,,,,,
"""Roberta Vinci""",,"""Italy""","""1983-02-18""",,"""1.63 m""",1999,"""14 May 2018""","""Right-handed (one-handed backhand)""","""$11,808,215""",,"""Palermo, Italy""",,,,,,,,,,,,F,,,,,
"""Emily Westacott""","""Emily Jane Lucy Harding Hood""","""Australia""","""1910-05-06""","""9 October 1980(1980-10-09) (aged 70)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Kerry Reid""","""Kerry Melville Reid""","""Australia""","""1947-08-07""",,"""167 cm""",,1979,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,F,,,,,
"""Anke Huber""",,"""Germany""","""1974-12-04""",,"""1.73 m""",1989,"""31 October 2001""","""Right-handed (two-handed backhand)""","""$4,768,292""",,"""Ludwigshafen, Germany""",,,,,,,,,,,,F,,,,,
"""Marion Bartoli""",,"""France""","""1984-10-02""",,"""1.70 m""","""February 2000""","""14 August 2013""","""Right-handed (two-handed both sides)""","""$11,055,114""",,"Geneva,
Switzerland",,,"""Walter Bartoli""",,,,,,,,,F,,,,,
"""Phoebe Holcroft Watson""","""Phoebe Catherine Holcroft Watson""","""United Kingdom""","""1898-10-07""","""20 October 1980(1980-10-20) (aged 82)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Augusta Schultz""",,"""United States""",,"""September 30, 1925(1925-09-30) (aged 54) Asheville, North Carolina""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Li Na""",,"""China""","""1982-02-26""",,"""1.72 m""",1999,"""April 2002–May 2004,  19 September 2014""","""Right-handed (two-handed backhand)""","$16,709,074
 25th in all-time rankings",,"""Wuhan, Hubei""",,,"""Jiang Shan (2006–2012)Thomas Högstedt (2009–2010)Michael Mortensen (2011)Carlos Rodríguez (2012–2014)""",,,,,,,,,F,"""Huazhong University of Science and Technology (B.A.)""",,,,
"""Venus Williams""",,"""United States""","""1980-06-17""",,"""1.85 m""","""October 31, 1994 (aged 14)""",,"""Right-handed (two-handed backhand)""","US$42,065,362
2nd in all-time rankings",,"""Palm Beach Gardens, Florida, U.S.""",,,"""Richard WilliamsOracene PriceDavid Witt (2007–2018)Eric Hechtman (2019-present)""","""Indiana University East (BSBA)""","""venuswilliams.com""",,,,,,,F,,,,,
"""Nancy Richey""",,"""United States""","""1942-08-23""",,"""1.60 m""",,,"""Right-handed""",,"""2003 (member page)""",,,,,,,,,,,,,F,,,,,
"""Blanche Bingley Hillyard""","""Blanche Bingley Hillyard""","""United Kingdom""","""1863-11-03""","""6 August 1946(1946-08-06) (aged 82)West Sussex, England""",,,,"""Right-handed""",,"""2013 (member page)""",,,,,,,,,,,,,F,,,,,
"""Hazel Hotchkiss Wightman""","""Hazel Virginia Hotchkiss Wightman""","""United States""","""1886-12-20""","""December 5, 1974(1974-12-05) (aged 87)Newton, Massachusetts, U.S.""",,,,"""Right-handed""",,"""1957 (member page)""",,,,,,,,,,,,,F,,,,"""Hazel Wightman""",
"""Joyce Fitch""",,"""Australia""","""1922-04-03""","""26 July 2012(2012-07-26) (aged 90)Auckland, New Zealand""",,,,,,,"""Victoria, Australia""",,,,,,,,,,,,F,,,,,
"""Mary Carter""",,"""Australia""","""1934-11-29""",,,,,,,,,,,,,,,,,,,,F,,,,,
"""Lottie Dod""","""Charlotte ""Lottie"" Dod""","""United Kingdom""","""1871-09-24""","""27 June 1960(1960-06-27) (aged 88)Sway, England""","""1.69 m""",,,"""Right-handed""",,"""1983 (member page)""",,,,,,,,,,,,,F,,,,,
"""Natasha Zvereva""",,"""Soviet Union (1988–1991),  CIS (1992),  Unified Team (1992),  Belarus (from 1993)""","""1971-04-16""",,"""1.74 m""","""May 1988""",2002,"""Right-handed (two-handed backhand)""","""$7,792,503""","""2010 (member page)""","""Minsk, Belarus""",,,,,,,,,,,,F,,,,,
"""Hana Mandlíková""",,"""Czechoslovakia Australia""","""1962-02-19""",,"""1.73 m""",1978,1990,"""Right-handed (one handed-backhand)""","""$3,340,959""","""1994 (member page)""","""Prague, Czech Republic & Delray Beach, Florida""",,,,,,,,,,,,F,,,,,
"""Anita Lizana""","""Anita Lizana de Ellis""","""Chile""","""1915-11-19""","""21 August 1994(1994-08-21) (aged 78)Sutton, London, England""","""1.59 m""",,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Angela Mortimer""",,"""Great Britain""","""1932-04-21""",,,,,,,"""1993 (member page)""",,,,,,,,,,,,,F,,,,,
"""Ellen C. Roosevelt""","""Ellen Crosby Roosevelt""","""USA""","""1868-08-20""","""September 26, 1954(1954-09-26) (aged 86)Hyde Park, New York, U.S.""",,,,,,"""1975 (member page)""",,,,,,,,,,,,,F,,,,,
"""Nelly Adamson""",,"""Belgium (1933-1936) France (1937 onwards)""","""1916-12-27""","""22 February 2010(2010-02-22) (aged 93)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Christine Truman""",,"""United Kingdom""","""1941-01-16""",,,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,"""Christine Janes""",
"""Alice Marble""",,"""United States""","""1913-09-28""","""December 13, 1990(1990-12-13) (aged 77)Palm Springs, California, U.S.""",,,,,,"""1964 (member page)""",,,,,,,,,,,,,F,,,,,
"""Marie Toomey""",,"""Australia""","""1923-10-03""","""29 March 2014(2014-03-29)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Margaret Court""",,"""Australia""","""1942-07-16""",,"""175 cm""",1960,1977,"""Right-handed (one-handed backhand)""",,"""1979 (member page)""","""Perth, Western Australia""",,,,,,,,,,,,F,,,,,
"""Dorothy Bundy""","""Dorothy May Sutton Bundy Cheney""","""United States""","""1916-09-01""","""November 23, 2014(2014-11-23) (aged 98)Escondido, California, U.S.""",,,,,,"""2004 (member page)""",,,,,,,,,,,,,F,,,,,
"""Cilly Aussem""","""Cäcilia Edith Aussem""","""Weimar Republic  Nazi Germany (1933–1934)""","""1909-01-04""","""22 March 1963(1963-03-22) (aged 54)Portofino. Italy""",,,1935,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,F,,,,,
"""Maud Watson""","""Maud Edith Eleanor Watson""","""United Kingdom""","""1864-10-09""","""5 June 1946(1946-06-05) (aged 81)Charmouth, Dorset, England""",,1881,1889,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Nell Hopman""","""Eleanor Mary Hall Hopman""","""Australia""","""1909-03-09""","""10 January 1968(1968-01-10) (aged 58)Hawthorn, Victoria""",,,1966,,,,,,,,,,,,,,,,F,,,,,
"""Jan Lehane""",,"""Australia""","""1941-07-09""",,,,,"""Right-handed (double-handed backhand)""",,,,,,,,,,,,,,,F,,,,"""Jan O'Neill""",
"""Marion Jones""",,"""United States""","""1975-10-12""",,,,,,,,,,,,,,,,,,"""5 ft 10 in (1.78 m)""","""150 lb (68 kg)""",F,,,,,
"""Svetlana Kuznetsova""",,"""Russia""","""1985-06-27""",,"""1.74 m""",2000,,"""Right-handed (two-handed backhand)""","$25,589,428
 10th in all-time rankings",,"""Moscow, Russia""",,,"""Javier Piles""",,,,,,,,,F,,,,,
"""Dorothy Head Knode""",,"""United States""","""1925-07-04""","""October 25, 2015(2015-10-25) (aged 90)Novato, California, U.S.""",,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
